ARFCN=36 PWR=-66dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=568 PWR=-72dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=637 PWR=-74dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=27 PWR=-76dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=640 PWR=-75dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=580 PWR=-76dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=37 PWR=-77dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=123 PWR=-83dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=32 PWR=-81dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=122 PWR=-83dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=570 PWR=-87dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=97 PWR=-86dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=96 PWR=-90dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=641 PWR=-89dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=659 PWR=-88dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=642 PWR=-91dB MCC=460 MNC=01 (China, China Unicom)
Date: 2016/08/20 13:14:47
