ARFCN=637 PWR=-77dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=36 PWR=-75dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=27 PWR=-78dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=640 PWR=-75dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=580 PWR=-77dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=568 PWR=-79dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=97 PWR=-83dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=123 PWR=-87dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=570 PWR=-89dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=575 PWR=-88dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=642 PWR=-88dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=37 PWR=-90dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=98 PWR=-90dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=659 PWR=-91dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=571 PWR=-88dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=641 PWR=-90dB MCC=460 MNC=01 (China, China Unicom)
Date: 2016/08/20 13:14:54
